color,spine,width,weight,satellites
medium,bothbroken,28.3,3.05,8
darkmedium,bothbroken,26,2.6,4
darkmedium,bothbroken,25.6,2.15,0
dark,onebroken,21,1.85,0
medium,bothbroken,29,3,1
lightmedium,onebroken,25,2.3,3
dark,bothbroken,26.2,1.3,0
medium,bothbroken,24.9,2.1,0
medium,bothgood,25.7,2,8
medium,bothbroken,27.5,3.15,6
lightmedium,bothgood,26.1,2.8,5
darkmedium,bothbroken,28.9,2.8,4
medium,bothgood,30.3,3.6,3
medium,bothbroken,22.9,1.6,4
darkmedium,bothbroken,26.2,2.3,3
darkmedium,bothbroken,24.5,2.05,5
medium,bothbroken,30,3.05,8
medium,bothbroken,26.2,2.4,3
medium,bothbroken,25.4,2.25,6
medium,bothbroken,25.4,2.25,4
dark,bothbroken,27.5,2.9,0
dark,bothbroken,27,2.25,3
medium,onebroken,24,1.7,0
medium,bothgood,28.7,3.2,0
darkmedium,bothbroken,26.5,1.97,1
medium,bothbroken,24.5,1.6,1
darkmedium,bothbroken,27.3,2.9,1
medium,bothbroken,26.5,2.3,4
medium,bothbroken,25,2.1,2
darkmedium,bothbroken,22,1.4,0
lightmedium,bothgood,30.2,3.28,2
medium,onebroken,25.4,2.3,0
medium,bothgood,24.9,2.3,6
dark,bothbroken,25.8,2.25,10
darkmedium,bothbroken,27.2,2.4,5
medium,bothbroken,30.5,3.32,3
dark,bothbroken,25,2.1,8
medium,bothbroken,30,3,9
medium,bothgood,22.9,1.6,0
medium,bothbroken,23.9,1.85,2
medium,bothbroken,26,2.28,3
medium,bothbroken,25.8,2.2,0
darkmedium,bothbroken,29,3.28,4
lightmedium,bothgood,26.5,2.35,0
darkmedium,bothbroken,22.5,1.55,0
medium,bothbroken,23.8,2.1,0
darkmedium,bothbroken,24.3,2.15,0
medium,bothgood,26,2.3,14
dark,bothbroken,24.7,2.2,0
medium,bothgood,22.5,1.6,1
medium,bothbroken,28.7,3.15,3
lightmedium,bothgood,29.3,3.2,4
medium,bothgood,26.7,2.7,5
dark,bothbroken,23.4,1.9,0
lightmedium,bothgood,27.7,2.5,6
medium,bothbroken,28.2,2.6,6
dark,bothbroken,24.7,2.1,5
medium,bothgood,25.7,2,5
medium,bothgood,27.8,2.75,0
darkmedium,bothgood,27,2.45,3
medium,bothbroken,29,3.2,10
darkmedium,bothbroken,25.6,2.8,7
darkmedium,bothbroken,24.2,1.9,0
darkmedium,bothbroken,25.7,1.2,0
darkmedium,bothbroken,23.1,1.65,0
medium,bothbroken,28.5,3.05,0
medium,bothgood,29.7,3.85,5
darkmedium,bothbroken,23.1,1.55,0
darkmedium,bothbroken,24.5,2.2,1
medium,bothbroken,27.5,2.55,1
medium,bothbroken,26.3,2.4,1
medium,bothbroken,27.8,3.25,3
medium,bothbroken,31.9,3.33,2
medium,bothbroken,25,2.4,5
darkmedium,bothbroken,26.2,2.22,0
darkmedium,bothbroken,28.4,3.2,3
lightmedium,onebroken,24.5,1.95,6
medium,bothbroken,27.9,3.05,7
medium,onebroken,25,2.25,6
darkmedium,bothbroken,29,2.92,3
medium,bothgood,31.7,3.73,4
medium,bothbroken,27.6,2.85,4
dark,bothbroken,24.5,1.9,0
darkmedium,bothbroken,23.8,1.8,0
medium,bothbroken,28.2,3.05,8
darkmedium,bothbroken,24.1,1.8,0
lightmedium,bothgood,28,2.62,0
lightmedium,bothgood,26,2.3,9
darkmedium,onebroken,24.7,1.9,0
medium,bothbroken,25.8,2.65,0
lightmedium,bothgood,27.1,2.95,8
medium,bothbroken,27.4,2.7,5
darkmedium,bothbroken,26.7,2.6,2
medium,bothgood,26.8,2.7,5
lightmedium,bothbroken,25.8,2.6,0
dark,bothbroken,23.7,1.85,0
medium,bothbroken,27.9,2.8,6
medium,bothgood,30,3.3,5
medium,bothbroken,25,2.1,4
medium,bothbroken,27.7,2.9,5
medium,bothbroken,28.3,3,15
dark,bothbroken,25.5,2.25,0
medium,bothbroken,26,2.15,5
medium,bothbroken,26.2,2.4,0
darkmedium,bothbroken,23,1.65,1
medium,onebroken,22.9,1.6,0
medium,bothbroken,25.1,2.1,5
darkmedium,bothgood,25.9,2.55,4
dark,bothgood,25.5,2.75,0
medium,bothgood,26.8,2.55,0
medium,bothgood,29,2.8,1
darkmedium,bothbroken,28.5,3,1
medium,onebroken,24.7,2.55,4
medium,bothbroken,29,3.1,1
medium,bothbroken,27,2.5,6
dark,bothbroken,23.7,1.8,0
darkmedium,bothbroken,27,2.5,6
medium,bothbroken,24.2,1.65,2
dark,bothbroken,22.5,1.47,4
medium,bothbroken,25.1,1.8,0
medium,bothbroken,24.9,2.2,0
medium,bothbroken,27.5,2.63,6
medium,bothgood,24.3,2,0
medium,bothbroken,29.5,3.02,4
medium,bothbroken,26.2,2.3,0
medium,bothbroken,24.7,1.95,4
darkmedium,onebroken,29.8,3.5,4
dark,bothbroken,25.7,2.15,0
darkmedium,bothbroken,26.2,2.17,2
dark,bothbroken,27,2.63,0
darkmedium,bothbroken,24.8,2.1,0
medium,bothgood,23.7,1.95,0
medium,bothbroken,28.2,3.05,11
medium,bothbroken,25.2,2,1
medium,onebroken,23.2,1.95,4
dark,bothbroken,25.8,2,3
dark,bothbroken,27.5,2.6,0
medium,onebroken,25.7,2,0
medium,bothbroken,26.8,2.65,0
darkmedium,bothbroken,27.5,3.1,3
darkmedium,bothgood,28.5,3.25,9
medium,bothbroken,28.5,3,3
lightmedium,bothgood,27.4,2.7,6
medium,bothbroken,27.2,2.7,3
darkmedium,bothbroken,27.1,2.55,0
medium,bothbroken,28,2.8,1
medium,bothgood,26.5,1.3,0
darkmedium,bothbroken,23,1.8,0
darkmedium,onebroken,26,2.2,3
darkmedium,onebroken,24.5,2.25,0
medium,bothbroken,25.8,2.3,0
dark,bothbroken,23.5,1.9,0
dark,bothbroken,26.7,2.45,0
darkmedium,bothbroken,25.5,2.25,0
medium,bothbroken,28.2,2.87,1
medium,bothgood,25.2,2,1
medium,bothbroken,25.3,1.9,2
darkmedium,bothbroken,25.7,2.1,0
dark,bothbroken,29.3,3.23,12
darkmedium,bothbroken,23.8,1.8,6
medium,bothbroken,27.4,2.9,3
medium,bothbroken,26.2,2.02,2
medium,bothgood,28,2.9,4
medium,bothgood,28.4,3.1,5
medium,bothgood,33.5,5.2,7
medium,bothbroken,25.8,2.4,0
darkmedium,bothbroken,24,1.9,10
medium,bothgood,23.1,2,0
medium,bothbroken,28.3,3.2,0
medium,bothbroken,26.5,2.35,4
medium,bothbroken,26.5,2.75,7
darkmedium,bothbroken,26.1,2.75,3
medium,onebroken,24.5,2,0
