site,year,grazing,dist_road,litter_depth,abund_all,rich_all,abund_songbird,rich_songbird
ACHDA 4,2000,grazed,35.3553390503,8.8541666667,17,12,15,10
ACHDA 4,2000,grazed,500,2.5,14,10,13,9
ACHDA 4,2000,grazed,750,5,20,15,14,11
ACHDA 4,2000,grazed,300,1.875,18,13,11,9
ACHDA 4,2000,grazed,656.220214844,3.875,25,17,17,13
ACHDA 4,2000,grazed,820.060974121,0.9375,20,16,15,11
ACHDA 4,2000,grazed,1025,11.5625,22,14,18,11
ACHDA 4,2000,grazed,824.621154785,1.875,21,15,19,13
ACHDA 4,2000,grazed,618.465820313,8.75,26,17,19,12
ACHDA 4,2001,grazed,500,4.75,18,12,15,10
ACHDA 4,2001,grazed,725,7.125,24,14,10,7
ACHDA 4,2001,grazed,300,3.875,28,19,13,9
ACHDA 4,2001,grazed,656.220214844,3.75,17,12,10,6
ACHDA 4,2001,grazed,820.060974121,6.25,17,11,9,6
ACHDA 4,2001,grazed,1030.77636719,4.6875,34,18,21,14
ACHDA 4,2001,grazed,1226.02001953,36.5625,16,12,14,10
ACHDA 4,2001,grazed,1025,10.3125,22,12,17,9
ACHDA 4,2001,grazed,824.621154785,7.5,21,15,16,11
ACHDA 4,2001,grazed,618.465820313,4.375,22,15,16,10
ACHDA 4,2002,grazed,500,5.25,31,17,24,11
ACHDA 4,2002,grazed,725,1.75,24,18,21,15
ACHDA 4,2002,grazed,300,11.5,34,24,24,15
ACHDA 4,2002,grazed,656.220214844,10.25,36,21,19,11
ACHDA 4,2002,grazed,820.060974121,4.375,39,24,17,11
ACHDA 4,2002,grazed,1030.77636719,10.875,27,22,16,14
ACHDA 4,2002,grazed,1226.02001953,25,37,27,21,15
ACHDA 4,2002,grazed,1025,19.125,23,15,20,13
ACHDA 4,2002,grazed,824.621154785,12.875,26,19,18,12
ACHDA 4,2002,grazed,618.465820313,14.625,40,26,20,14
BOBBY HALE DEFERRED,2001,grazed,975,33.4375,19,12,17,10
BOBBY HALE DEFERRED,2001,grazed,1075,28.75,16,15,11,10
BOBBY HALE DEFERRED,2001,grazed,1075,39.6875,21,15,15,11
BOBBY HALE DEFERRED,2001,grazed,325,13.25,17,10,14,8
BOBBY HALE DEFERRED,2001,grazed,158.113876343,6.5625,11,5,8,3
BOBBY HALE EARLY,2000,grazed,350,4.125,18,13,12,9
BOBBY HALE EARLY,2000,grazed,675,3.1041666667,10,9,10,9
BOBBY HALE EARLY,2001,grazed,350,11.5625,24,12,17,8
BOBBY HALE EARLY,2001,grazed,675,11.25,12,9,8,5
BOBBY HALE EARLY,2001,grazed,675,36.875,30,17,27,14
BOBBY HALE EARLY,2001,grazed,125,23.75,22,15,15,10
CASSILS MARSH,2000,grazed,850,10.625,10,8,5,4
CASSILS MARSH,2000,grazed,1114.9552002,2.1875,3,2,3,2
CASSILS MARSH,2000,grazed,1007.78222656,3.125,5,5,4,4
CASSILS MARSH,2000,grazed,1155.69238281,7.1875,28,17,19,12
CASSILS MARSH,2001,grazed,1114.9552002,12.25,17,13,10,8
CASSILS MARSH,2001,grazed,1158.12353516,5.4375,21,18,15,12
CASSILS MARSH,2001,grazed,1007.78222656,13.875,16,13,10,7
CASSILS MARSH,2001,grazed,1230.09143066,9.1875,16,11,11,8
CASSILS MARSH,2001,grazed,901.734436035,6.75,19,13,6,5
CASSILS MARSH,2001,grazed,1155.69238281,9.5,25,17,15,12
CASSILS MARSH,2002,grazed,850,7.75,24,16,9,8
CASSILS MARSH,2002,grazed,1114.9552002,13,15,13,9,7
CASSILS MARSH,2002,grazed,1158.12353516,29.75,17,14,9,8
CASSILS MARSH,2002,grazed,1007.78222656,5.25,13,10,5,4
CASSILS MARSH,2002,grazed,1230.09143066,10.625,14,11,7,5
CASSILS MARSH,2002,grazed,901.734436035,13.75,8,7,2,2
CASSILS MARSH,2002,grazed,1155.69238281,7.625,15,12,9,7
CONTRA COSTA,2000,ungrazed,1675,2.4375,14,11,14,11
CONTRA COSTA,2000,grazed,1400,3.75,24,19,22,17
CONTRA COSTA,2000,grazed,1225,3.125,21,14,20,13
CONTRA COSTA,2000,grazed,375,3,17,15,16,14
CONTRA COSTA,2000,grazed,302.076141357,12.75,28,23,23,19
CONTRA COSTA,2000,grazed,100,1.875,20,16,19,15
CONTRA COSTA,2000,grazed,1375,3.6875,26,15,23,13
CONTRA COSTA,2000,grazed,1400,0.4375,22,13,22,13
CONTRA COSTA,2000,grazed,1750,1.9375,17,13,16,12
CONTRA COSTA,2000,grazed,100,3.5625,17,11,17,11
CONTRA COSTA,2000,grazed,400,4.875,26,17,24,15
CONTRA COSTA,2000,grazed,700,2.375,29,16,27,14
CONTRA COSTA,2000,grazed,1000,5.6875,27,16,24,15
CONTRA COSTA,2000,grazed,190.394332886,3.625,18,13,18,13
CONTRA COSTA,2000,grazed,458.938995361,6.8125,25,15,23,13
CONTRA COSTA,2000,grazed,760.345336914,7.1875,24,15,23,14
CONTRA COSTA,2000,grazed,725,0.375,21,16,20,15
CONTRA COSTA,2001,grazed,1675,9.8125,22,14,20,12
CONTRA COSTA,2001,grazed,1400,4.6875,22,14,21,13
CONTRA COSTA,2001,grazed,1225,11.25,21,17,19,15
CONTRA COSTA,2001,grazed,1006.54107666,4.125,26,16,17,9
CONTRA COSTA,2001,grazed,375,6.3125,24,16,18,12
CONTRA COSTA,2001,grazed,302.076141357,7.125,20,16,13,10
CONTRA COSTA,2001,grazed,100,5.125,18,15,14,11
CONTRA COSTA,2001,grazed,206.155288696,4.0625,18,14,17,13
CONTRA COSTA,2001,grazed,1263.42785645,6.625,25,21,19,15
CONTRA COSTA,2001,grazed,1375,8.6875,26,18,20,15
CONTRA COSTA,2001,grazed,1400,7.9375,26,16,19,12
CONTRA COSTA,2001,grazed,1750,1.9375,19,14,17,12
CONTRA COSTA,2001,grazed,400,5.1875,23,16,19,13
CONTRA COSTA,2001,grazed,700,11.3125,21,11,20,10
CONTRA COSTA,2001,grazed,1000,6.5833333333,19,14,16,11
CONTRA COSTA,2002,grazed,1675,3,18,11,12,7
CONTRA COSTA,2002,grazed,1400,7.75,28,19,23,14
CONTRA COSTA,2002,grazed,1225,7.25,19,10,17,8
CONTRA COSTA,2002,grazed,1006.54107666,1.9375,25,17,21,13
CONTRA COSTA,2002,grazed,375,7.5,21,13,16,10
CONTRA COSTA,2002,grazed,302.076141357,7,21,13,17,10
CONTRA COSTA,2002,grazed,100,2.625,19,12,8,5
CONTRA COSTA,2002,grazed,206.155288696,3.25,32,23,19,16
CONTRA COSTA,2002,grazed,1263.42785645,9.625,23,13,18,9
CONTRA COSTA,2002,grazed,1375,15.625,32,18,29,16
CONTRA COSTA,2002,grazed,1400,16.75,42,23,34,18
CONTRA COSTA,2002,grazed,100,7.75,18,10,18,10
CONTRA COSTA,2002,grazed,400,8,20,8,16,6
CONTRA COSTA,2002,grazed,700,6.375,22,12,14,8
CONTRA COSTA,2002,grazed,1000,14.25,23,12,19,9
EDGEWOOD,2000,grazed,1975,0,19,12,15,9
EDGEWOOD,2000,grazed,1725,0.3125,15,11,14,10
EDGEWOOD,2000,grazed,1446.76367188,10.9375,11,9,10,8
EDGEWOOD,2000,grazed,1177.39123535,4.875,10,8,8,6
EDGEWOOD,2000,grazed,700,3.625,20,12,17,10
EDGEWOOD,2000,grazed,400,3.6875,16,14,13,11
EDGEWOOD,2000,grazed,100,3.0625,15,11,12,9
EDGEWOOD,2000,grazed,650,2.78125,17,16,12,11
EDGEWOOD,2000,grazed,575,2.3125,19,13,15,9
EDGEWOOD,2001,grazed,2250,6.625,21,14,19,12
EDGEWOOD,2001,grazed,1975,28.8125,15,9,15,9
EDGEWOOD,2001,grazed,1725,7.875,18,14,15,11
EDGEWOOD,2001,grazed,1446.76367188,16.8125,19,18,14,14
EDGEWOOD,2001,grazed,1177.39123535,6.25,26,20,24,18
EDGEWOOD,2001,grazed,1282.81921387,8.6875,28,20,25,18
EDGEWOOD,2001,grazed,725,4.1875,21,16,11,10
EDGEWOOD,2001,grazed,700,5.75,10,9,6,5
EDGEWOOD,2001,grazed,400,8.5,15,12,14,11
EDGEWOOD,2001,grazed,100,12.75,14,13,8,8
EDGEWOOD,2001,grazed,650,7,11,10,7,7
EDGEWOOD,2001,grazed,575,6.5,9,8,7,6
HONESS,2000,grazed,375,0.6875,4,3,4,3
HONESS,2000,grazed,125,1.1875,25,17,19,12
HONESS,2001,grazed,250,5,16,15,9,9
HONESS,2001,grazed,375,4.0625,19,18,13,12
HONESS,2001,grazed,125,6.5625,14,10,11,8
HONESS,2002,grazed,250,4.625,26,18,20,13
HONESS,2002,grazed,375,3.625,24,17,16,11
HONESS,2002,grazed,125,2.625,24,14,16,8
KETCHMARK DEFERRED,2000,grazed,125,4.5625,20,13,19,12
KETCHMARK DEFERRED,2000,grazed,425,5.875,25,13,25,13
KETCHMARK DEFERRED,2000,grazed,725,2.9375,19,12,16,9
KETCHMARK DEFERRED,2000,grazed,1025,2.125,20,11,19,10
